d_sh_empl,d_sh_empl_mfg,d_sh_empl_nmfg,shock,IV,weights,statefip,czone,t2,l_shind_manuf_cbp,l_sh_popedu_c,l_sh_popfborn,l_sh_empl_f,l_sh_routine33,l_task_outsource,division
2.9866219,1.2542367,1.7323852,2.0758097035579,1.30731436457365,3.9616411e-4,21,4402,FALSE,26.20211,32.462738,0.73106664,53.761875,29.595572,-0.40753812,6
1.8830031,1.8192992,0.063702464,0.387895461797285,1.54827716864756,1.8850905e-4,21,4501,FALSE,9.4682627,23.39542,0.47228643,37.216904,23.475534,-1.2957301,6
1.4210641,1.768133,-0.34706891,0.0094766371075315,0.0102738665043489,5.0628115e-4,21,4502,FALSE,2.7294068,22.683157,0.56643391,33.243263,23.687674,-1.4910009,6
-2.8228998,-5.6108446,2.7879417,1.48910689185348,3.21638244152439,3.091392e-4,21,4601,FALSE,53.705395,22.85972,0.59243321,54.853863,25.616514,0.52045172,6
-3.3948839,-5.3677888,1.9729048,1.4714930891969,2.01432480822454,4.4844951e-4,21,4602,FALSE,35.247074,23.631699,0.59734213,54.798107,26.281416,0.41857624,6
0.66834092,-0.021657348,0.68999529,1.38861654604266,1.39092120437677,3.2644818e-4,28,4701,FALSE,33.80117,31.045883,0.42738491,51.196243,31.079821,-0.23150681,6
-4.1034403,-5.1207838,1.017344,1.78918643179032,3.29233491571092,5.2668067e-4,28,4702,FALSE,35.397652,35.008102,0.7494694,56.732441,31.93272,0.18649668,6
-2.3076594,0.29354617,-2.6012123,0.853055406005912,0.444149003207694,6.1642518e-4,28,4800,FALSE,25.995415,34.678261,0.66798699,51.696545,29.8099,-0.3481487,6
-0.98085403,-5.046083,4.0652304,2.15454125797068,1.91700308747405,6.9621869e-4,47,4901,FALSE,35.691868,33.309902,0.87155265,61.177547,30.689737,-0.15134482,6
-0.4391551,-2.999577,2.5604219,1.98367020891671,1.8210065449966,3.4420719e-4,47,4902,FALSE,51.693756,27.329052,1.0358933,60.164749,28.911659,-0.1977846,6
-2.0177841,-1.5216529,-0.49613118,5.47178842327719,3.600092602343,1.5663698e-4,47,4903,FALSE,59.063278,29.376894,0.81628293,59.614544,30.151981,-0.13872774,6
-2.7342498,-4.3014646,1.5672177,4.83809414919244,2.95925478533763,7.13546e-4,28,5e3,FALSE,53.167908,37.758129,0.69437164,62.721527,31.339783,0.2824055,6
-0.04888773,-1.5314832,1.4825881,7.02788146021451,3.71629745300419,4.7739007e-4,28,5100,FALSE,52.685513,29.108238,0.64580542,57.223869,31.626087,0.082196444,6
1.7300546,-6.6843286,8.4143848,4.22558722769029,2.67584778518567,2.0050209e-4,28,5201,FALSE,57.564156,33.468128,0.80146974,57.1339,32.257748,0.31567925,6
0.25970936,-1.6368352,1.8965423,1.26342305907231,0.867604467238093,0.0041226754,47,5202,FALSE,15.928559,46.731842,2.149267,63.039452,33.05143,0.08358717,6
0.87323189,0.72539002,0.14784634,4.29170290096252,3.95916386624397,5.6729821e-4,5,5300,FALSE,26.283613,27.854734,1.0060139,52.276524,28.246492,-0.34300521,7
0.40935874,-0.79703033,1.206392,0.74889848728926,1.91148284627763,5.6648604e-4,21,5401,FALSE,33.679279,36.307423,1.3305632,62.908588,32.49506,-0.21936336,6
0.28472543,-1.1178658,1.4025956,1.10074821730719,2.62223884624245,3.3372099e-4,21,5402,FALSE,44.916988,19.943975,0.75793701,57.173939,29.987562,0.16279839,6
-0.5774796,-2.263154,1.685673,2.56013766653054,2.54528190688824,5.164693e-4,47,5500,FALSE,50.630104,30.326159,1.0064131,61.840599,31.280235,0.18870346,6
-1.1048317,-2.5065444,1.4017224,1.49899569053655,1.06147057602508,0.0040243887,47,5600,FALSE,18.976269,47.176323,2.715626,68.187988,33.364586,0.24760157,6
-0.37289858,-5.0108581,4.6379595,2.50881833915634,1.90938829756816,4.4540863e-4,47,5700,FALSE,38.120781,29.97801,1.0000823,61.456181,31.324017,0.17109586,6
-0.78333616,-4.8728437,4.0895104,3.83894067742327,2.84737823755922,4.8769271e-4,47,5800,FALSE,39.396713,30.029179,1.1053077,60.978897,29.968504,0.094298765,6
2.82107,0.65492988,2.1661429,2.667976032882,1.82409475516983,8.3791325e-4,47,5900,FALSE,29.311359,38.315983,4.1665769,54.876457,29.041201,-0.73598176,6
0.098931789,-2.0842254,2.1831572,2.4790474091656,1.8988154129359,0.0018246139,1,6e3,FALSE,32.880955,48.003639,3.2802637,60.156948,29.593082,0.38527423,6
0.78181624,-3.1351595,3.916976,2.00669444742057,2.93789137937722,0.0011117287,1,6100,FALSE,46.670895,32.137104,0.94317895,57.9282,30.905035,-0.051156841,6
-1.5815675,-2.704823,1.1232585,1.3482505625172,3.36227511083837,8.5348048e-4,1,6200,FALSE,40.151016,34.750225,0.8325001,56.218929,28.21373,-0.34947154,6
-0.24697781,-5.2323623,4.9853859,4.63888569279629,4.6650892376962,2.9226425e-4,47,6301,FALSE,58.4543,23.489527,0.99533182,61.631542,30.064817,0.13925336,6
-0.25863051,-3.8116574,3.5530269,2.68271117686349,4.25330321289319,3.3471876e-4,47,6302,FALSE,44.045483,28.34161,1.3986341,61.18087,31.309752,0.025523715,6
1.6204774,-1.8807381,3.5012126,1.11372907884997,0.606961210690905,0.0018000961,47,6401,FALSE,28.356606,40.479816,1.9024481,62.349258,32.850838,0.16776673,6
0.2260983,-3.0952454,3.3213406,2.23550278157597,4.55325136906784,3.3979476e-4,47,6402,FALSE,46.534683,26.54484,1.2212125,58.610798,30.623522,0.084110387,6
-6.4416409,-19.167072,12.725425,0.59737863295442,2.52476960385287,1.1869555e-4,13,6501,FALSE,39.878696,28.544596,2.6720796,65.590324,34.51104,0.42740452,5
-0.81959963,-4.9934878,4.173893,4.57535896687633,4.28362449932839,6.8915781e-4,47,6502,FALSE,48.208988,32.844963,1.2180661,59.281147,32.377598,0.09380132,6
-0.94431043,-2.9254346,1.9811273,1.60470528603425,0.60147030600406,0.0014030412,13,6600,FALSE,51.284103,28.363079,1.8438896,63.855862,32.843651,-0.048802663,5
-1.1400819,-1.6829193,0.54284334,0.621608833405476,0.516679697093799,0.0083716093,12,6700,FALSE,11.06386,47.918705,8.378829,66.23658,33.256062,0.073200017,5
0.68659186,-1.8370316,2.5236189,0.383276072746095,0.686058225109344,0.0019975759,12,6800,FALSE,15.086758,35.372528,5.7092857,59.798973,28.78961,-0.37628675,5
-1.262641,-0.65775961,-0.60487986,0.623820293647689,0.41210486296087,0.0025291564,12,6900,FALSE,10.611023,44.57785,6.4551005,63.145699,30.437029,-0.53572625,5
-6.3910542,-2.6297979,-3.7612557,0.887107850541213,0.916949125903416,0.013259016,12,7e3,FALSE,10.472016,46.299923,39.943974,64.768654,33.744328,0.21446571,5
-2.4882734,-1.932164,-0.55611134,0.475014471985182,0.614918162104653,0.0047771283,12,7100,FALSE,11.491072,48.757469,13.347573,63.54063,31.331957,-0.089280158,5
-2.9966831,-0.5750466,-2.4216354,0.16860901907544,0.133578405204932,0.0019789159,12,7200,FALSE,5.2243004,45.009945,8.9691792,65.192039,30.265518,-0.38767889,5
-0.3678143,-2.9984734,2.6306629,1.06712493507168,0.806817991603786,0.0019858924,12,7300,FALSE,16.606695,52.015728,7.7114449,62.038784,30.537045,0.065061301,5
-2.0337403,-2.0674825,0.03374815,0.462265791456622,0.588715884600136,0.0050999164,12,7400,FALSE,10.639445,50.280155,8.7910452,67.489037,31.55661,0.22558942,5
-0.53299665,-0.5237624,-0.0092387199,0.538709380511934,0.440374891757493,0.0018836785,12,7500,FALSE,13.371637,45.478649,6.118907,61.19421,30.074793,-0.4548499,5
1.0191858,-1.2043946,2.2235751,0.352847387179851,0.269874639161582,0.0039023352,12,7600,FALSE,10.34795,45.599945,4.6595902,64.470581,32.905491,-0.089967996,5
1.2026906,-3.9945438,5.1972332,0.201477209604575,0.820408465847982,4.8646191e-4,12,7700,FALSE,29.100605,30.852863,2.1146355,53.720085,25.391615,-1.1055039,5
1.5053034,-1.3789631,2.8842628,0.534860360430069,0.529200718655363,0.0011643518,12,7800,FALSE,14.099195,35.705532,4.005404,55.16544,29.944176,-0.61852944,5
0.67902207,-0.75225306,1.4312804,0.444383726774833,0.445768136330271,0.0010533043,12,7900,FALSE,10.499999,59.650845,7.3942304,59.773582,28.077257,-0.62238681,5
2.4736583,-3.4043982,5.8780551,1.19548517751185,2.46826690861702,7.7893893e-4,45,8e3,FALSE,37.662693,35.909882,2.4733419,58.806442,31.947756,-0.31234539,5
-1.6775012,-2.61954,0.94203353,0.613040666131322,1.27241317064838,0.0025253005,45,8100,FALSE,20.039747,48.976917,3.4706063,66.086281,32.178455,0.035101622,5
-3.9718866,-3.1881645,-0.78372061,1.28269397400499,2.56028810768942,2.7086484e-4,45,8201,FALSE,44.092255,33.79546,1.3772254,57.297485,30.37112,-0.3236804,5
2.3585975,-1.8302143,4.1888118,0.362235956378001,0.471623568338313,0.0021881433,45,8202,FALSE,14.605139,46.723061,3.3447616,61.193336,28.67071,-0.79660505,5
-1.4342666,-4.8176541,3.383389,1.3550386551687,1.2439026116452,0.0031216566,45,8300,FALSE,33.437798,40.975452,1.9441684,65.370384,32.610004000000004,0.25187269,5
-2.2020638,-3.2520168,1.0499537,0.744643854282593,1.68662290961475,0.0018691885,13,8401,FALSE,29.628431,39.852058,3.9853909,61.540211,29.403091,-0.49746042,5
-2.6725531,-3.4336493,0.76109469,0.661905195323817,5.24803515406133,1.2845834e-4,13,8402,FALSE,50.631542,24.129238,1.238739,60.71545,29.327202,0.014462862,5
-1.3725162,0.66261888,-2.0351291,2.16765027604015,2.42379984758835,9.9630648e-5,13,8501,FALSE,44.91354,32.841961,2.6567721,59.902794,28.134167,-0.25726226,5
-6.5591154,-1.4141963,-5.1449151,0.550276641502244,1.83130508994556,1.4971747e-4,13,8502,FALSE,30.984673,32.468491,1.1589108,58.45208,29.876402,-0.16661264,5
-1.8689573,-3.7221215,1.853168,0.541302655910888,1.08361318818436,8.3203736e-4,13,8503,FALSE,33.450672,31.678003,2.608767,59.785778,27.948036,-0.22506206,5
-1.2514234,-2.4631336,1.2117118,1.7624742751775,3.16321399274026,4.046204e-4,13,8601,FALSE,36.601536,23.965267,1.7297672,56.953449,27.437744,-0.23065262,5
5.5809202,-2.1834226,7.7643423,0.69476990944344,1.05411999890804,3.3221761e-4,13,8602,FALSE,15.06239,35.350471,3.152854,55.564774,27.951077,-0.9026069,5
-2.3363471,-3.1422176,0.8058697,0.278297374301432,2.19415596152774,4.3751739e-4,13,8701,FALSE,29.289982,35.599007,2.6931741,56.00806,26.819769,-0.81458873,5
-3.5402417,-5.1214271,1.581189,1.48920386742931,2.57607895141435,3.7882078e-4,13,8702,FALSE,39.342754,28.769201,1.5601922,57.81778,26.445833,-0.2896359,5
-1.4368296,-2.2056313,0.76879859,0.187334152927265,0.421232143892874,0.0014529612,13,8800,FALSE,14.530375,43.129547,3.1730685,61.433029,30.444279,-0.56300354,5
-2.176559,-2.2850008,0.10844469,1.13204041269054,1.44269307503769,0.0013917334,13,8900,FALSE,21.018393,38.544151,2.4497879,61.87936,30.844042,-0.20648547,5
-2.2524118,-4.3878374000000004,2.1354289,1.15885837412675,2.0851077175875,4.0058725e-4,13,9001,FALSE,39.099106,30.742374,1.352369,58.795963,27.860081,-0.39726126,5
-3.8770616,-2.7270362,-1.1500299,0.761961345764265,0.716833545476412,2.9595327e-4,13,9002,FALSE,35.374935,28.151834,1.6175026,62.783581,24.874685,-0.61993235,5
-4.5752468,-4.8632565,0.28801262,0.85522619534498,3.75910828625786,2.7453786e-4,13,9003,FALSE,33.031731,27.518234,1.1001251,61.824173,28.381815,-0.3699795,5
-2.7764678,-1.7150581,-1.0614097,0.60990381784217,0.516618895150863,0.011061829,13,9100,FALSE,13.559209,54.603256,5.9815216,69.55558,34.454674,0.64358485,5
-0.35278201,-7.8035831,7.4508042,0.812137218442507,2.33548059170634,4.7562469e-4,13,9200,FALSE,43.737309,25.908497,1.3392127,63.207584,33.248951,-0.11267933,5
-0.26982427,-3.0459681,2.7761459,1.64558815717839,2.79414037101201,6.7241263e-4,13,9301,FALSE,29.847288,46.469601,3.7846749,62.513966,30.12289,-0.22688605,5
-2.9222369,-2.7866945,-0.13554096,1.86103897720555,6.00800631358785,3.1905514e-4,13,9302,FALSE,48.42065,31.692032,2.8422003,65.261536,30.786053,-0.1905939,5
-1.8918335,-2.2277429,0.3359139,0.815824229500489,2.59585576961452,7.7472581e-4,13,9400,FALSE,38.093517,35.881153,3.4493613,65.272728,30.534761,-0.2298325,5
-2.8812289,-6.2503653,3.3691378,0.716591896904743,1.99724659378993,5.5631431e-4,1,9500,FALSE,54.777199,29.87583,0.69352371,60.67939,30.787554,0.24188277,6
0.92456341,-6.1436849,7.0682497,1.77398577671897,2.46730809818142,0.0016056078,13,9600,FALSE,43.202091,33.829227,1.4912814,60.17688,32.538059,-0.059046447,5
3.0487716,-0.55197328,3.6007433,0.724736734117679,0.698507591085201,0.0011829311,13,9701,FALSE,26.740196,42.018871,5.2769756,57.944839,32.134098,-0.273642,5
-6.394875,-0.010253489,-6.3846202,3.40734484452181,2.46943473001221,2.4624768e-4,13,9702,FALSE,41.802715,34.42482,1.7319524,57.867359,29.926765,-0.16617939,5
2.6878357,-3.877651,6.5654812,2.68590456919739,3.34716205992275,5.029692e-4,1,9800,FALSE,30.05155,46.703102,2.8977301,55.301231,30.03614,-0.37586534,6
-3.2263637,-1.4520251,-1.7743409,0.332129983213885,0.510467060389908,0.0014090525,12,9900,FALSE,10.024244,55.301559,3.9136262,66.170189,32.095524,0.014717281,5
5.274683,-1.114218,6.3889027,0.142695588847895,0.361715950281789,6.005477e-4,12,1e4,FALSE,9.9749832,41.449566,4.6996288,57.341343,29.151949,-0.55189061,5
-1.0850132,-5.3199201,4.2349072,1.66470257296594,0.965081367501802,1.6389911e-4,13,10101,FALSE,41.870865,25.93697,2.3719893,59.226643,27.006439,-0.062167116,5
-1.0850132,-5.3199201,4.2349072,0.950832287138042,1.22189389345886,2.3915889e-4,13,10102,FALSE,38.239483,25.93697,2.3719893,59.226643,27.006439,-0.062167104,5
-2.1196842,-4.0864563,1.9667685,0.71582349613117,1.11541227292025,6.7462935e-4,13,10200,FALSE,25.091309,31.235022,1.6067349,58.283478,28.796133,-0.12736253,5
-3.3102691,-2.201602,-1.1086673,2.42792904579291,2.97474394083906,2.2620671e-4,13,10301,FALSE,47.492573,36.53931,3.4641371,59.388699,28.996403,-0.32075539,5
-1.7795503,-5.833642,4.0540934,0.744049178329508,3.01226237473757,8.6423295e-4,1,10302,FALSE,31.348986,39.006245,2.6232581,59.767765,28.134447,-0.35540468,6
-0.29224157,-4.0413098,3.7490726,10.0308227262654,2.74663812414797,6.0128997e-4,28,10400,FALSE,34.023949,38.017998,0.80459487,57.677738,31.078726,-0.27120832,6
-1.5272319,-1.2470126,-0.28021634,1.60645691613348,2.57329408121359,3.7165865e-4,28,10501,FALSE,37.757462,39.585564,1.8885497,55.747868,29.178345,0.010788417,6
0.053143501,-1.0500252,1.1031717,4.571128428279,3.68195520118326,3.9470667e-4,28,10502,FALSE,52.120937,43.32238,2.3113723,56.425423,29.63722,-0.02716925,6
0.33464432,-3.7987814,4.1334243,2.14886599999923,3.28481314902048,6.1781221e-4,1,10600,FALSE,45.449318,26.048401,0.47742143,52.598888,26.317835,-0.25059953,6
-0.60323477,-1.3355345,0.73230267,0.37806647938054,0.427913259260434,0.0038152186,1,10700,FALSE,15.88138,47.009182,1.6198751,60.852814,32.669415,0.076921284,6
-1.5755534,-1.3283663000000001,-0.24719238,1.1945385265175,1.55576125631595,9.8644034e-4,1,10801,FALSE,25.644831,44.397697,1.8955154,54.564571,29.671967,-0.44011092,6
